RunID,DefectSeq,DefectTypeID,Severity,DetectedAt
1,1,3,High,2024-01-01 08:45:00
2,1,1,Low,2024-01-01 14:45:00
3,1,4,Critical,2024-01-01 20:45:00
4,1,1,Low,2024-01-02 02:45:00
5,1,3,High,2024-01-02 08:45:00
6,1,3,High,2024-01-02 14:45:00
7,1,4,Critical,2024-01-02 20:45:00
8,1,1,Low,2024-01-03 02:45:00
9,1,3,High,2024-01-03 08:45:00
13,1,3,High,2024-01-04 08:45:00
14,1,2,Medium,2024-01-04 14:45:00
16,1,3,High,2024-01-05 02:45:00
17,1,3,High,2024-01-05 08:45:00
18,1,3,High,2024-01-05 14:45:00
19,1,4,Critical,2024-01-05 20:45:00
20,1,2,Medium,2024-01-06 02:45:00
21,1,4,Critical,2024-01-06 08:45:00
22,1,4,Critical,2024-01-06 14:45:00
23,1,2,Medium,2024-01-06 20:45:00
24,1,1,Low,2024-01-07 02:45:00
25,1,2,Medium,2024-01-07 08:45:00
26,1,2,Medium,2024-01-07 14:45:00
27,1,3,High,2024-01-07 20:45:00
28,1,3,High,2024-01-08 02:45:00
29,1,3,High,2024-01-08 08:45:00
31,1,1,Low,2024-01-08 20:45:00
32,1,4,Critical,2024-01-09 02:45:00
34,1,4,Critical,2024-01-09 14:45:00
35,1,1,Low,2024-01-09 20:45:00
36,1,4,Critical,2024-01-10 02:45:00
37,1,1,Low,2024-01-10 08:45:00
39,1,1,Low,2024-01-10 20:45:00
40,1,3,High,2024-01-11 02:45:00
41,1,4,Critical,2024-01-11 08:45:00
42,1,2,Medium,2024-01-11 14:45:00
43,1,4,Critical,2024-01-11 20:45:00
44,1,3,High,2024-01-12 02:45:00
45,1,3,High,2024-01-12 08:45:00
46,1,4,Critical,2024-01-12 14:45:00
47,1,2,Medium,2024-01-12 20:45:00
48,1,2,Medium,2024-01-13 02:45:00
49,1,4,Critical,2024-01-13 08:45:00
50,1,4,Critical,2024-01-13 14:45:00
51,1,4,Critical,2024-01-13 20:45:00
52,1,4,Critical,2024-01-14 02:45:00
54,1,4,Critical,2024-01-14 14:45:00
55,1,2,Medium,2024-01-14 20:45:00
56,1,4,Critical,2024-01-15 02:45:00
57,1,2,Medium,2024-01-15 08:45:00
58,1,2,Medium,2024-01-15 14:45:00
59,1,2,Medium,2024-01-15 20:45:00
60,1,2,Medium,2024-01-16 02:45:00
62,1,4,Critical,2024-01-16 14:45:00
63,1,4,Critical,2024-01-16 20:45:00
65,1,3,High,2024-01-17 08:45:00
66,1,3,High,2024-01-17 14:45:00
67,1,2,Medium,2024-01-17 20:45:00
69,1,4,Critical,2024-01-18 08:45:00
70,1,3,High,2024-01-18 14:45:00
71,1,2,Medium,2024-01-18 20:45:00
72,1,3,High,2024-01-19 02:45:00
74,1,2,Medium,2024-01-19 14:45:00
75,1,1,Low,2024-01-19 20:45:00
76,1,1,Low,2024-01-20 02:45:00
77,1,3,High,2024-01-20 08:45:00
78,1,4,Critical,2024-01-20 14:45:00
79,1,2,Medium,2024-01-20 20:45:00
80,1,1,Low,2024-01-21 02:45:00
81,1,3,High,2024-01-21 08:45:00
82,1,4,Critical,2024-01-21 14:45:00
83,1,3,High,2024-01-21 20:45:00
84,1,4,Critical,2024-01-22 02:45:00
85,1,2,Medium,2024-01-22 08:45:00
86,1,3,High,2024-01-22 14:45:00
87,1,1,Low,2024-01-22 20:45:00
88,1,2,Medium,2024-01-23 02:45:00
89,1,2,Medium,2024-01-23 08:45:00
91,1,4,Critical,2024-01-23 20:45:00
92,1,4,Critical,2024-01-24 02:45:00
93,1,1,Low,2024-01-24 08:45:00
94,1,1,Low,2024-01-24 14:45:00
95,1,2,Medium,2024-01-24 20:45:00
96,1,2,Medium,2024-01-25 02:45:00
97,1,3,High,2024-01-25 08:45:00
98,1,4,Critical,2024-01-25 14:45:00
99,1,4,Critical,2024-01-25 20:45:00
100,1,3,High,2024-01-26 02:45:00
