RunID,LineID,RunTimestamp,ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus
1,1,2024-01-01 08:00:00,202.0,13175.4,86.65,1.0,3.1215,63.46,9.0,0.05,8.63,0.0813,85.04,0,2419.62,0.4689,5.55,236.44,Defect
2,2,2024-01-01 14:00:00,535.0,19770.05,86.31,4.0,0.8195,83.7,20.0,4.91,9.3,0.0385,99.66,7,3915.57,0.1195,9.08,353.96,Defect
3,3,2024-01-01 20:00:00,960.0,19060.82,82.13,0.0,4.5145,90.35,1.0,2.46,5.1,0.0029,92.82,2,3392.39,0.4964,6.56,396.19,Defect
4,4,2024-01-02 02:00:00,370.0,5647.61,87.34,5.0,0.6385,67.63,8.0,4.69,3.58,0.0553,96.89,8,4652.4,0.1831,8.1,164.14,Defect
5,5,2024-01-02 08:00:00,206.0,7472.22,81.99,3.0,3.8678,82.73,9.0,2.75,6.85,0.068,88.32,7,1581.63,0.2635,6.41,365.71,Defect
6,6,2024-01-02 14:00:00,171.0,6975.93,95.33,1.0,3.9146,92.57,19.0,3.03,7.93,0.0741,87.08,7,1238.99,0.118,7.28,171.71,Defect
7,1,2024-01-02 20:00:00,800.0,15889.7,99.33,3.0,4.789,90.73,10.0,3.56,3.05,0.0402,91.06,8,3138.43,0.3339,4.89,188.73,Defect
8,2,2024-01-03 02:00:00,120.0,17266.78,99.4,4.0,0.7436,92.12,13.0,1.6,8.38,0.0097,88.71,3,1004.11,0.2934,9.33,312.53,Defect
9,3,2024-01-03 08:00:00,714.0,8202.67,97.3,5.0,3.1859,95.17,2.0,3.49,3.67,0.0584,94.3,4,4150.88,0.3667,5.52,215.68,Defect
10,4,2024-01-03 14:00:00,221.0,12587.79,92.02,2.0,2.4253,97.51,0.0,2.63,5.93,0.033,85.32,6,3023.89,0.3171,5.97,364.64,No Defect
11,5,2024-01-03 20:00:00,566.0,17610.55,94.02,3.0,1.9878,76.22,6.0,3.36,8.85,0.0947,88.99,1,2952.26,0.2593,5.72,482.31,No Defect
12,6,2024-01-04 02:00:00,314.0,15992.02,85.7,0.0,0.9064,82.75,3.0,4.18,3.55,0.0503,97.9,6,2449.98,0.3951,3.85,159.56,No Defect
13,1,2024-01-04 08:00:00,430.0,13133.56,92.62,1.0,3.0319,91.63,6.0,0.92,3.94,0.0472,95.12,2,2499.9,0.11,3.08,328.2,Defect
14,2,2024-01-04 14:00:00,558.0,13855.22,89.11,0.0,2.6557,87.89,15.0,3.07,2.5,0.0309,83.36,5,2724.53,0.3164,1.66,469.32,Defect
15,3,2024-01-04 20:00:00,187.0,12625.41,89.64,3.0,0.9705,99.82,9.0,0.26,3.17,0.0339,97.74,5,1064.13,0.1456,7.46,170.61,No Defect
16,4,2024-01-05 02:00:00,472.0,9463.23,95.16,5.0,3.2562,60.55,14.0,0.51,3.17,0.0513,91.78,5,1334.18,0.2744,3.6,246.74,Defect
17,5,2024-01-05 08:00:00,199.0,13475.33,85.64,2.0,3.8208,74.21,15.0,3.37,3.63,0.0307,93.59,9,3020.19,0.4165,4.5,149.45,Defect
18,6,2024-01-05 14:00:00,971.0,15333.28,86.36,2.0,3.9528,71.24,5.0,0.35,4.29,0.0892,85.89,1,1600.49,0.157,9.28,356.82,Defect
19,1,2024-01-05 20:00:00,763.0,18099.84,98.49,0.0,4.5742,70.49,3.0,2.98,8.52,0.0439,88.83,8,4115.05,0.4743,6.1,367.66,Defect
20,2,2024-01-06 02:00:00,230.0,14544.37,81.12,4.0,2.3426,68.9,3.0,1.1,9.33,0.0292,96.14,7,2097.94,0.4554,1.87,365.67,Defect
21,3,2024-01-06 08:00:00,761.0,16416.82,89.71,4.0,4.7888,88.36,23.0,1.52,5.25,0.0155,86.61,6,1391.6,0.266,8.2,316.85,Defect
22,4,2024-01-06 14:00:00,408.0,7401.07,98.26,5.0,4.3944,63.39,22.0,0.65,3.03,0.0672,83.3,8,1940.84,0.1024,3.31,398.5,Defect
23,5,2024-01-06 20:00:00,869.0,11923.36,92.21,2.0,1.8343,89.66,3.0,1.24,3.79,0.0026,87.57,3,2428.39,0.4159,5.97,114.35,Defect
24,6,2024-01-07 02:00:00,443.0,5139.97,90.93,0.0,1.2168,87.74,21.0,4.11,7.89,0.045,81.38,1,1141.27,0.4524,5.59,483.01,Defect
25,1,2024-01-07 08:00:00,591.0,8700.18,84.99,0.0,2.4593,70.03,21.0,3.19,7.42,0.055,94.36,3,1566.7,0.1699,3.14,188.84,Defect
26,2,2024-01-07 14:00:00,513.0,15896.93,86.87,0.0,2.3085,70.11,16.0,4.75,9.74,0.034,82.95,9,2295.39,0.4665,2.04,148.62,Defect
27,3,2024-01-07 20:00:00,905.0,19877.15,97.04,3.0,3.0907,85.15,12.0,0.24,2.12,0.075,85.7,2,2241.92,0.4656,2.9,476.45,Defect
28,4,2024-01-08 02:00:00,485.0,6487.67,91.18,5.0,3.1252,90.49,1.0,3.96,8.01,0.0676,97.62,1,4201.55,0.2885,1.88,432.17,Defect
29,5,2024-01-08 08:00:00,291.0,11022.41,90.29,4.0,3.8749,95.06,19.0,3.5,6.05,0.0971,90.81,1,4373.02,0.4192,3.48,405.95,Defect
30,6,2024-01-08 14:00:00,376.0,17001.06,81.99,4.0,2.7945,94.09,5.0,1.3,9.22,0.0509,86.43,7,1773.67,0.278,9.98,141.9,No Defect
31,1,2024-01-08 20:00:00,260.0,8060.53,80.32,3.0,0.9717,98.6,21.0,3.65,6.61,0.0538,90.95,4,1495.76,0.3256,4.62,423.01,Defect
