RunID,SupplierID,MaterialLot,MaterialCost,OnTimeDelivery
1,1,LOT-00001,236.44,1
2,2,LOT-00002,353.96,0
3,3,LOT-00003,396.19,1
4,4,LOT-00004,164.14,0
5,5,LOT-00005,365.71,0
6,1,LOT-00006,171.71,1
7,2,LOT-00007,188.73,0
8,3,LOT-00008,312.53,0
9,4,LOT-00009,215.68,0
10,5,LOT-00010,364.64,1
11,1,LOT-00011,482.31,0
12,2,LOT-00012,159.56,1
13,3,LOT-00013,328.2,1
14,4,LOT-00014,469.32,1
15,5,LOT-00015,170.61,0
16,1,LOT-00016,246.74,0
17,2,LOT-00017,149.45,1
18,3,LOT-00018,356.82,1
19,4,LOT-00019,367.66,1
20,5,LOT-00020,365.67,0
21,1,LOT-00021,316.85,0
22,2,LOT-00022,398.5,0
23,3,LOT-00023,114.35,1
24,4,LOT-00024,483.01,1
25,5,LOT-00025,188.84,1
26,1,LOT-00026,148.62,1
27,2,LOT-00027,476.45,0
28,3,LOT-00028,432.17,0
29,4,LOT-00029,405.95,0
30,5,LOT-00030,141.9,0
31,1,LOT-00031,423.01,0
32,2,LOT-00032,343.61,1
33,3,LOT-00033,392.76,0
34,4,LOT-00034,491.23,0
35,5,LOT-00035,177.78,1
36,1,LOT-00036,301.75,0
37,2,LOT-00037,401.34,1
38,3,LOT-00038,273.46,0
39,4,LOT-00039,121.86,0
40,5,LOT-00040,144.58,1
41,1,LOT-00041,340.84,1
42,2,LOT-00042,214.0,0
43,3,LOT-00043,155.14,0
44,4,LOT-00044,235.96,0
45,5,LOT-00045,180.39,1
46,1,LOT-00046,109.58,1
47,2,LOT-00047,160.73,1
48,3,LOT-00048,453.23,1
49,4,LOT-00049,104.81,0
50,5,LOT-00050,409.54,1
51,1,LOT-00051,401.38,1
52,2,LOT-00052,325.7,1
53,3,LOT-00053,183.38,1
54,4,LOT-00054,451.22,1
55,5,LOT-00055,290.03,1
56,1,LOT-00056,169.28,1
57,2,LOT-00057,271.61,0
58,3,LOT-00058,177.97,0
59,4,LOT-00059,250.4,1
60,5,LOT-00060,298.68,0
61,1,LOT-00061,243.96,1
62,2,LOT-00062,362.82,0
63,3,LOT-00063,474.37,0
64,4,LOT-00064,239.26,0
65,5,LOT-00065,242.3,0
66,1,LOT-00066,395.32,0
67,2,LOT-00067,312.24,0
68,3,LOT-00068,271.54,1
69,4,LOT-00069,425.52,0
70,5,LOT-00070,456.41,1
71,1,LOT-00071,336.23,0
72,2,LOT-00072,174.04,0
73,3,LOT-00073,286.51,0
74,4,LOT-00074,301.75,1
75,5,LOT-00075,272.88,1
76,1,LOT-00076,204.97,0
77,2,LOT-00077,288.93,1
78,3,LOT-00078,278.62,1
79,4,LOT-00079,183.8,1
80,5,LOT-00080,461.37,0
81,1,LOT-00081,454.14,0
82,2,LOT-00082,403.85,1
83,3,LOT-00083,260.38,0
84,4,LOT-00084,248.14,0
85,5,LOT-00085,386.59,0
86,1,LOT-00086,343.25,0
87,2,LOT-00087,340.24,1
88,3,LOT-00088,149.64,0
89,4,LOT-00089,347.31,0
90,5,LOT-00090,460.75,1
91,1,LOT-00091,134.33,0
92,2,LOT-00092,235.67,0
93,3,LOT-00093,303.61,0
94,4,LOT-00094,374.4,0
95,5,LOT-00095,135.85,0
96,1,LOT-00096,449.12,0
97,2,LOT-00097,116.22,1
98,3,LOT-00098,443.08,0
99,4,LOT-00099,111.06,0
100,5,LOT-00100,161.41,1
101,1,LOT-00101,420.13,1
102,2,LOT-00102,444.07,0
103,3,LOT-00103,492.91,1
104,4,LOT-00104,146.29,0
105,5,LOT-00105,310.58,1
106,1,LOT-00106,130.86,1
107,2,LOT-00107,162.56,0
108,3,LOT-00108,169.8,1
109,4,LOT-00109,125.36,0
110,5,LOT-00110,457.19,0
111,1,LOT-00111,150.54,1
112,2,LOT-00112,351.74,1
113,3,LOT-00113,350.3,1
114,4,LOT-00114,179.46,0
115,5,LOT-00115,499.36,0
116,1,LOT-00116,238.95,0
117,2,LOT-00117,462.04,0
118,3,LOT-00118,479.31,1
119,4,LOT-00119,479.6,0
120,5,LOT-00120,401.14,1
121,1,LOT-00121,201.52,1
122,2,LOT-00122,148.26,0
123,3,LOT-00123,327.95,1
124,4,LOT-00124,244.02,1
125,5,LOT-00125,432.42,0
126,1,LOT-00126,398.0,0
127,2,LOT-00127,210.59,1
128,3,LOT-00128,106.81,0
129,4,LOT-00129,194.93,0
130,5,LOT-00130,326.85,1
131,1,LOT-00131,131.6,0
132,2,LOT-00132,363.31,1
133,3,LOT-00133,368.68,0
134,4,LOT-00134,167.76,0
135,5,LOT-00135,338.53,0
136,1,LOT-00136,342.79,1
137,2,LOT-00137,291.19,0
138,3,LOT-00138,481.3,1
139,4,LOT-00139,143.27,0
140,5,LOT-00140,262.65,0
141,1,LOT-00141,453.17,1
142,2,LOT-00142,254.53,0
143,3,LOT-00143,269.86,0
144,4,LOT-00144,367.31,1
145,5,LOT-00145,366.23,0
146,1,LOT-00146,109.16,1
147,2,LOT-00147,282.28,1
148,3,LOT-00148,233.4,0
149,4,LOT-00149,351.08,0
150,5,LOT-00150,322.28,0
151,1,LOT-00151,360.34,1
152,2,LOT-00152,361.51,0
153,3,LOT-00153,201.95,0
154,4,LOT-00154,198.59,0
155,5,LOT-00155,248.11,1
156,1,LOT-00156,196.78,1
157,2,LOT-00157,373.12,1
158,3,LOT-00158,341.15,1
159,4,LOT-00159,186.55,0
160,5,LOT-00160,453.64,1
161,1,LOT-00161,284.27,1
162,2,LOT-00162,150.82,1
163,3,LOT-00163,185.19,1
164,4,LOT-00164,315.94,1
165,5,LOT-00165,235.37,0
166,1,LOT-00166,440.49,0
167,2,LOT-00167,297.89,1
168,3,LOT-00168,466.12,0
169,4,LOT-00169,140.73,0
170,5,LOT-00170,367.44,1
171,1,LOT-00171,454.31,0
172,2,LOT-00172,217.17,0
173,3,LOT-00173,154.28,0
174,4,LOT-00174,282.66,1
175,5,LOT-00175,484.53,1
176,1,LOT-00176,353.38,0
177,2,LOT-00177,357.59,1
178,3,LOT-00178,368.6,0
179,4,LOT-00179,115.9,1
180,5,LOT-00180,278.26,0
181,1,LOT-00181,131.03,0
182,2,LOT-00182,226.34,0
183,3,LOT-00183,428.64,1
184,4,LOT-00184,362.51,0
185,5,LOT-00185,498.23,0
186,1,LOT-00186,168.86,1
187,2,LOT-00187,258.82,0
188,3,LOT-00188,423.86,1
189,4,LOT-00189,186.28,1
190,5,LOT-00190,161.49,0
191,1,LOT-00191,271.05,0
192,2,LOT-00192,253.49,0
193,3,LOT-00193,492.08,0
194,4,LOT-00194,282.5,0
195,5,LOT-00195,444.38,0
196,1,LOT-00196,455.19,1
197,2,LOT-00197,163.15,0
198,3,LOT-00198,386.12,0
199,4,LOT-00199,211.04,1
200,5,LOT-00200,137.9,0
201,1,LOT-00201,449.88,0
202,2,LOT-00202,216.97,0
203,3,LOT-00203,238.15,1
204,4,LOT-00204,229.6,0
205,5,LOT-00205,180.12,1
206,1,LOT-00206,273.8,0
207,2,LOT-00207,271.32,0
208,3,LOT-00208,263.5,0
209,4,LOT-00209,466.52,0
210,5,LOT-00210,235.9,1
211,1,LOT-00211,112.15,0
212,2,LOT-00212,171.37,0
213,3,LOT-00213,388.6,0
214,4,LOT-00214,336.34,1
215,5,LOT-00215,480.69,1
216,1,LOT-00216,377.77,0
217,2,LOT-00217,177.7,1
218,3,LOT-00218,148.26,0
219,4,LOT-00219,308.3,0
220,5,LOT-00220,366.11,1
221,1,LOT-00221,166.25,1
222,2,LOT-00222,340.68,1
223,3,LOT-00223,446.01,1
224,4,LOT-00224,391.03,0
225,5,LOT-00225,365.68,1
226,1,LOT-00226,415.73,0
227,2,LOT-00227,141.63,1
228,3,LOT-00228,181.53,0
229,4,LOT-00229,115.24,0
230,5,LOT-00230,157.99,1
231,1,LOT-00231,465.27,1
232,2,LOT-00232,188.86,0
233,3,LOT-00233,364.84,0
234,4,LOT-00234,376.63,1
235,5,LOT-00235,358.13,0
236,1,LOT-00236,321.57,0
237,2,LOT-00237,294.45,0
238,3,LOT-00238,267.97,0
239,4,LOT-00239,466.76,1
240,5,LOT-00240,103.81,0
